tensor(-0.0006),tensor(0.0015),tensor(-0.0038),tensor(0.0031),tensor(-0.0025),tensor(-0.0128),tensor(0.0032),tensor(-0.0027)
tensor(0.0003),tensor(0.0004),tensor(-0.0019),tensor(-0.0075),tensor(0.0035),tensor(-0.0048),tensor(0.0106),tensor(0.)
tensor(-0.0016),tensor(-0.0084),tensor(-0.0064),tensor(-0.0028),tensor(0.0038),tensor(-0.0027),tensor(-0.),tensor(0.)
tensor(-0.0031),tensor(-0.0024),tensor(0.0037),tensor(0.0006),tensor(0.0031),tensor(-0.0001),tensor(-0.),tensor(-0.0044)
tensor(-0.0005),tensor(-0.0024),tensor(-0.0007),tensor(0.0012),tensor(-0.0020),tensor(-0.0014),tensor(-0.),tensor(-0.0034)
tensor(-0.0030),tensor(-0.0012),tensor(-0.0028),tensor(0.0025),tensor(-0.0005),tensor(-0.0006),tensor(-0.),tensor(-0.0011)
tensor(0.0010),tensor(0.0006),tensor(0.0012),tensor(-0.0002),tensor(0.0009),tensor(-0.0050),tensor(0.0007),tensor(-9.9684e-05)
tensor(-1.8116e-05),tensor(-0.0009),tensor(-0.0025),tensor(0.0002),tensor(0.0004),tensor(0.0009),tensor(0.0008),tensor(-0.0005)
tensor(-0.0026),tensor(-0.0014),tensor(-0.0006),tensor(0.0003),tensor(1.9231e-05),tensor(-0.0009),tensor(-0.),tensor(-0.0012)
tensor(0.0001),tensor(-0.0023),tensor(-0.0031),tensor(-0.0024),tensor(0.0021),tensor(0.0004),tensor(-0.),tensor(0.)
tensor(-0.0003),tensor(-0.0004),tensor(0.0006),tensor(-0.0013),tensor(-0.0017),tensor(0.0009),tensor(-0.),tensor(0.)
tensor(0.0033),tensor(0.0035),tensor(0.0003),tensor(0.0010),tensor(-0.0045),tensor(-0.0037),tensor(-0.),tensor(0.)
tensor(-0.0015),tensor(0.0004),tensor(-0.0019),tensor(-0.0014),tensor(-0.0007),tensor(0.0010),tensor(-0.),tensor(-0.0020)
tensor(-0.0016),tensor(0.0003),tensor(-0.0001),tensor(-0.0015),tensor(-0.0011),tensor(-0.0004),tensor(0.0006),tensor(-0.0027)
tensor(0.0021),tensor(-0.0019),tensor(0.0017),tensor(0.0018),tensor(-0.0004),tensor(3.0220e-05),tensor(-0.),tensor(0.)
tensor(-0.0005),tensor(-0.0011),tensor(-0.0017),tensor(-0.0015),tensor(0.0010),tensor(-0.0032),tensor(0.0020),tensor(0.)
tensor(-0.0011),tensor(-0.0012),tensor(-0.0010),tensor(0.0004),tensor(0.0013),tensor(0.0005),tensor(-0.),tensor(0.)
tensor(0.0001),tensor(0.0004),tensor(0.0015),tensor(-0.0022),tensor(-0.0022),tensor(0.0024),tensor(-0.),tensor(-0.0026)
tensor(-0.0004),tensor(-0.0018),tensor(-0.0004),tensor(0.0009),tensor(-0.0004),tensor(0.0005),tensor(-0.),tensor(0.)
tensor(-0.0017),tensor(-0.0001),tensor(0.0007),tensor(-0.0002),tensor(0.0011),tensor(-0.0004),tensor(0.0012),tensor(0.)
tensor(-1.8908e-05),tensor(0.0001),tensor(-0.0010),tensor(0.0003),tensor(0.0007),tensor(-0.0009),tensor(-0.),tensor(-0.0001)
tensor(-0.0008),tensor(0.0002),tensor(0.0007),tensor(8.3288e-05),tensor(-0.0003),tensor(5.3258e-05),tensor(-0.),tensor(-0.0002)
tensor(0.0005),tensor(-0.0011),tensor(-0.0001),tensor(0.0006),tensor(-0.0010),tensor(-0.0005),tensor(-0.),tensor(0.)
tensor(-0.0005),tensor(-0.0003),tensor(-0.0002),tensor(-0.0011),tensor(-0.0007),tensor(0.0003),tensor(0.0007),tensor(-0.0011)
tensor(-0.0006),tensor(0.0005),tensor(-0.0003),tensor(0.0004),tensor(-1.4425e-05),tensor(0.0003),tensor(-0.),tensor(0.)
tensor(0.0005),tensor(-0.0004),tensor(-0.0002),tensor(2.5093e-05),tensor(0.0005),tensor(-3.8254e-05),tensor(0.0006),tensor(-0.0004)
